date;pre;pet;sol
01/01/2006;0.2;3.970279;592.1
01/02/2006;45;3.970279;592.1
01/03/2006;33.8;3.970279;592.1
01/04/2006;36.6;3.970279;592.1
01/05/2006;1.2;3.970279;592.1
01/06/2006;8.4;3.970279;592.1
01/07/2006;2;3.970279;592.1
01/08/2006;4.6;3.970279;592.1
01/09/2006;1;3.970279;592.1
01/10/2006;0.6;3.970279;592.1
01/11/2006;18;3.970279;592.1
01/12/2006;21.2;3.970279;592.1
01/01/2007;19.2;3.970279;592.1
01/02/2007;42;3.970279;592.1
01/03/2007;4.6;3.970279;592.1
01/04/2007;15.6;3.970279;592.1
01/05/2007;31.4;3.970279;592.1
01/06/2007;18.6;3.970279;592.1
01/07/2007;61.4;3.970279;592.1
01/08/2007;39.2;3.970279;592.1
01/09/2007;12;3.970279;592.1
01/10/2007;49.4;3.970279;592.1
01/11/2007;3.8;3.970279;592.1
01/12/2007;34.8;3.970279;592.1
01/01/2008;54.6;3.970279;592.1
01/02/2008;26.4;3.970279;592.1
01/03/2008;15.8;3.970279;592.1
01/04/2008;17.4;3.970279;592.1
01/05/2008;25.8;3.970279;592.1
01/06/2008;27.6;3.970279;592.1
01/07/2008;32.4;3.970279;592.1
01/08/2008;31.4;3.970279;592.1
01/09/2008;3.6;3.970279;592.1
01/10/2008;21.6;3.970279;592.1
01/11/2008;0;3.970279;592.1
01/12/2008;1.6;3.970279;592.1
01/01/2009;2.4;3.970279;592.1
01/02/2009;3;3.970279;592.1
01/03/2009;1.6;3.970279;592.1
01/04/2009;4.8;3.970279;592.1
01/05/2009;7;3.970279;592.1
01/06/2009;5.4;3.970279;592.1
01/07/2009;0.4;3.970279;592.1
01/08/2009;0.2;3.970279;592.1
01/09/2009;0.4;3.970279;592.1
01/10/2009;13.6;3.970279;592.1
01/11/2009;6.2;3.970279;592.1
01/12/2009;0.2;3.970279;592.1
01/01/2010;19;3.970279;592.1
01/02/2010;28.2;3.970279;592.1
01/03/2010;19.4;3.970279;592.1
01/04/2010;52;3.970279;592.1
01/05/2010;19.4;3.970279;592.1
01/06/2010;1;3.970279;592.1
01/07/2010;6.8;3.970279;592.1
01/08/2010;10;3.970279;592.1
01/09/2010;3.8;3.970279;592.1
01/10/2010;3;3.970279;592.1
01/11/2010;0.8;3.970279;592.1
01/12/2010;0;3.970279;592.1
